Data,Nome,Edicao,Num,Extras,Qtd,Preco_Unit,Preco_Total
2025-01-07,"Vraska the Unseen","Magic 2013","77","Foil",4,26.97,107.87
2025-01-07,"Arid Mesa","Magic 2011","109","",2,12.03,24.06
2025-01-07,"Saheeli Rai","Ixalan","281","Etched",4,6.02,24.10
2025-01-07,"Dark Depths","Wilds of Eldraine","220","Prerelease",1,6.13,6.13
2025-01-07,"Aether Vial","The Brothers' War","114","Foil",3,30.27,90.81
2025-01-07,"Narset, Parter of Veils","Modern Horizons 2","240","",1,17.65,17.65
2025-01-07,"Misty Rainforest","The Brothers' War","61","",2,18.06,36.13
2025-01-07,"Kiora, Behemoth Beckoner","Phyrexia: All Will Be One","264","",3,17.22,51.67
2025-01-07,"Xenagos, the Reveler","Alpha","179","Prerelease",2,16.78,33.57
2025-01-07,"Xenagos, God of Revels","Wilds of Eldraine","86","Foil",4,1.48,5.92
2025-01-07,"Wooded Foothills","Unlimited","128","",4,18.73,74.92
2025-01-07,"Teferi's Protection","Future Sight","55","",1,11.62,11.62
2025-01-07,"Saheeli Rai","Time Spiral","289","",3,3.03,9.09
2025-01-07,"Craterhoof Behemoth","Phyrexia: All Will Be One","59","",4,16.15,64.61
2025-01-07,"Dark Ritual","Unfinity","39","Foil",1,5.94,5.94
2025-01-07,"Doubling Season","Ixalan","168","",2,618.50,1236.99
2025-01-07,"Field of the Dead","Magic 2013","99","",4,3.98,15.90
2025-01-07,"Nicol Bolas, the Ravager","Ixalan","93","",2,15.78,31.57
2025-01-07,"Lightning Bolt","Unfinity","25","Etched",3,4.56,13.68
2025-01-07,"Esper Sentinel","Unfinity","281","",1,19.13,19.13
2025-01-07,"Urborg, Tomb of Yawgmoth","Ixalan","286","",2,9.95,19.90
2025-01-07,"Rhystic Study","Unfinity","163","Foil",2,24.12,48.23
2025-01-07,"Path to Exile","Dominaria United","241","Foil",4,22.20,88.78
2025-01-07,"Brainstorm","Dominaria United","95","",4,17.48,69.91
2025-01-07,"Marsh Flats","Innistrad: Midnight Hunt","158","Prerelease",1,24.10,24.10
2025-01-07,"Hangarback Walker","Unlimited","182","Prerelease",3,28.04,84.12
2025-01-07,"Chandra, Torch of Defiance","Ixalan","133","Prerelease",1,26.69,26.69
2025-01-07,"Gaea's Cradle","March of the Machine","202","Etched",4,1252.27,5009.07
2025-01-07,"Dark Depths","Dominaria United","88","",3,6.91,20.74
2025-01-07,"Phyrexian Obliterator","Alpha","51","Etched",2,29.58,59.15
2025-01-07,"Craterhoof Behemoth","Fourth Edition","90","",3,12.20,36.59
2025-01-07,"Birds of Paradise","Ixalan","131","Foil",2,4.59,9.18
2025-01-07,"Mana Crypt","Zendikar Rising","145","",4,294.03,1176.12
2025-01-07,"Urza's Saga","Time Spiral","74","",1,5.07,5.07
2025-01-07,"Ragavan, Nimble Pilferer","Ixalan","245","",3,326.72,980.17
2025-01-07,"Supreme Verdict","Innistrad: Midnight Hunt","146","Prerelease",4,7.49,29.95
2025-01-07,"Supreme Verdict","Adventures in the Forgotten Realms","196","",2,2.95,5.90
2025-01-07,"Kiora, Behemoth Beckoner","Commander Masters","115","",3,2.03,6.10
2025-01-07,"Sorin Markov","Strixhaven","14","Prerelease",2,22.48,44.97
2025-01-07,"Mox Diamond","Wilds of Eldraine","255","Prerelease",3,3574.65,10723.95
2025-01-07,"Path to Exile","Unfinity","10","Etched",3,9.98,29.95
2025-01-07,"Xenagos, God of Revels","Alpha","256","",4,2.05,8.21
2025-01-07,"Dark Ritual","Ikoria: Lair of Behemoths","50","Foil",1,30.06,30.06
2025-01-07,"Phyrexian Obliterator","Magic 2010","280","Foil",2,8.56,17.12
2025-01-07,"Tarmogoyf","Ixalan","217","",1,2.92,2.92
2025-01-07,"Mox Diamond","Strixhaven","177","Foil",1,3988.33,3988.33
2025-01-07,"Demonic Tutor","March of the Machine","32","Foil",1,2.89,2.89
2025-01-07,"Gaea's Cradle","Kaladesh Remastered","185","",4,2405.34,9621.38
2025-01-07,"Tarmogoyf","Phyrexia: All Will Be One","156","Etched",2,3.03,6.06
2025-01-07,"Orcish Bowmasters","Revised","243","",3,3.89,11.67
2025-01-07,"Sword of Fire and Ice","Unlimited","188","Etched",3,13.87,41.61
2025-01-07,"Inquisition of Kozilek","Streets of New Capenna","254","",3,2.91,8.72
2025-01-07,"Arid Mesa","Wilds of Eldraine","34","",3,2.01,6.02
2025-01-07,"Elvish Mystic","Kaladesh Remastered","36","",2,10.85,21.70
2025-01-07,"Misty Rainforest","Theros Beyond Death","262","Foil",2,10.59,21.19
2025-01-07,"Dockside Extortionist","Revised","85","",3,15.86,47.59
2025-01-07,"Kiora, Behemoth Beckoner","Beta","77","",1,15.75,15.75
2025-01-07,"Demonic Tutor","Phyrexia: All Will Be One","29","",4,6.10,24.42
2025-01-07,"Inquisition of Kozilek","Fourth Edition","224","",2,16.86,33.72
2025-01-07,"Xenagos, God of Revels","Commander Masters","28","",1,19.73,19.73
2025-01-07,"Jitte","Future Sight","194","",4,17.13,68.54
2025-01-07,"Volcanic Island","Unfinity","276","",3,1255.34,3766.03
2025-01-07,"Lotus Cobra","Fourth Edition","63","",3,2427.28,7281.83
2025-01-07,"Chandra, Torch of Defiance","The Lord of the Rings","201","",1,1.99,1.99
2025-01-07,"Flooded Strand","The Lord of the Rings","265","Foil",2,11.94,23.88
2025-01-07,"Demonic Tutor","Kaladesh Remastered","111","",1,4.03,4.03
2025-01-07,"Sword of Body and Mind","Innistrad: Midnight Hunt","74","",1,5.00,5.00
2025-01-07,"Sensei's Divining Top","Fourth Edition","299","Prerelease",1,19.32,19.32
2025-01-07,"Demonic Tutor","The Lord of the Rings","289","",3,12.92,38.75
2025-01-07,"Scalding Tarn","Theros Beyond Death","186","",4,10.94,43.76
2025-01-07,"Ancient Tomb","Commander Masters","258","Prerelease",1,16.66,16.66
2025-01-07,"Cabal Coffers","The Lost Caverns of Ixalan","265","Foil",4,23.30,93.18
2025-01-07,"Orcish Bowmasters","Zendikar Rising","268","Foil",1,10.20,10.20
2025-01-07,"Phyrexian Obliterator","Commander Masters","166","Foil",2,23.46,46.91
2025-01-07,"Demonic Tutor","The Brothers' War","88","Etched",1,10.39,10.39
2025-01-07,"Sword of War and Peace","Revised","156","",1,9.09,9.09
2025-01-07,"Path to Exile","Unfinity","154","",2,1.01,2.03
2025-01-07,"The Ur-Dragon","Innistrad: Midnight Hunt","67","",2,10.82,21.64
2025-01-07,"Emrakul, the Aeons Torn","Unfinity","253","",2,5.78,11.56
2025-01-07,"Wrath of God","Future Sight","230","",1,1.96,1.96
2025-01-07,"Sword of Body and Mind","Wilds of Eldraine","239","Foil",4,2.97,11.89
2025-01-07,"Sheoldred, the Apocalypse","Revised","271","Etched",2,506.31,1012.62
2025-01-07,"Force of Will","Magic 2012","256","",4,391.05,1564.21
2025-01-07,"Cabal Coffers","Phyrexia: All Will Be One","7","Foil",1,10.43,10.43
2025-01-07,"Verdant Catacombs","Phyrexia: All Will Be One","216","Etched",2,25.07,50.15
2025-01-07,"Vampiric Tutor","Streets of New Capenna","291","Foil",1,17.76,17.76
2025-01-07,"Dark Confidant","The Lord of the Rings","217","",1,3.91,3.91
2025-01-07,"Sheoldred, the Apocalypse","Alpha","165","Prerelease",2,126.87,253.73
2025-01-07,"Avacyn, Angel of Hope","Ixalan","138","",3,10.08,30.24
2025-01-07,"Teferi's Protection","The Lord of the Rings","105","",3,10.79,32.37
2025-01-07,"Arid Mesa","Future Sight","176","Prerelease",1,1.51,1.51
2025-01-07,"Vraska the Unseen","Revised","169","",1,1.96,1.96
2025-01-07,"Liliana's Triumph","Magic 2010","226","Prerelease",3,1.51,4.52
2025-01-07,"Kodama's Reach","Modern Horizons 2","145","",2,2.08,4.16
2025-01-07,"Brisela, Voice of Nightmares","The Lord of the Rings","94","",3,18.36,55.07
2025-01-07,"Ragavan, Nimble Pilferer","Dominaria United","243","Foil",2,567.10,1134.20
2025-01-07,"Thoughtseize","Phyrexia: All Will Be One","193","",4,14.50,57.99
2025-01-07,"Gaea's Cradle","Dominaria United","143","Foil",4,952.73,3810.91
2025-01-07,"Fyndhorn Elves","Innistrad: Midnight Hunt","14","",2,19.82,39.65
2025-01-07,"Fabled Passage","Fourth Edition","126","Foil",3,7.51,22.54
2025-01-07,"Nicol Bolas, the Ravager","Modern Horizons 2","59","Prerelease",4,2.94,11.78
2025-01-07,"Urborg, Tomb of Yawgmoth","March of the Machine","21","",1,12.39,12.39
2025-01-07,"Mana Crypt","Time Spiral","105","",4,332.25,1329.02
2025-01-07,"Jitte","Revised","253","",4,19.62,78.50
2025-01-07,"Lightning Bolt","Commander Masters","288","Etched",2,13.76,27.52
2025-01-07,"Force of Will","Modern Horizons 2","235","Prerelease",3,378.61,1135.84
2025-01-07,"Craterhoof Behemoth","The Brothers' War","207","",1,13.87,13.87
2025-01-07,"Sword of Fire and Ice","March of the Machine","71","Prerelease",4,13.66,54.66
2025-01-07,"Tamiyo, Field Researcher","The Lost Caverns of Ixalan","238","Etched",1,21.63,21.63
2025-01-07,"Birds of Paradise","Innistrad: Midnight Hunt","8","",1,16.31,16.31
2025-01-07,"Cabal Coffers","Magic 2012","84","Prerelease",2,4.43,8.86
2025-01-07,"Mox Diamond","Beta","247","",3,1636.94,4910.83
2025-01-07,"Sylvan Library","Commander Masters","32","Foil",1,10.79,10.79
2025-01-07,"Sword of War and Peace","Modern Horizons 2","173","",2,13.05,26.10
2025-01-07,"Ob Nixilis Reignited","Modern Horizons 2","182","",3,11.44,34.31
2025-01-07,"Scalding Tarn","The Brothers' War","245","",1,13.46,13.46
2025-01-07,"Kiora, Behemoth Beckoner","Streets of New Capenna","90","Prerelease",1,10.32,10.32
2025-01-07,"Elesh Norn, Grand Cenobite","Strixhaven","187","Foil",1,10.07,10.07
2025-01-07,"Field of the Dead","Magic 2011","259","Prerelease",1,4.48,4.48
2025-01-07,"Elvish Mystic","Magic 2010","211","",3,2.00,6.00
2025-01-07,"Karn, Scion of Urza","Future Sight","121","Prerelease",2,10.69,21.39
2025-01-07,"Wrath of God","Modern Horizons 2","222","Foil",4,17.91,71.66
2025-01-07,"Xenagos, God of Revels","Ixalan","277","Prerelease",4,9.12,36.47
2025-01-07,"Griselbrand","Ixalan","297","Prerelease",4,20.60,82.42
2025-01-07,"Sword of Fire and Ice","Magic 2010","41","Prerelease",1,19.78,19.78
2025-01-07,"Sensei's Divining Top","Magic 2013","234","Etched",4,2.90,11.59
2025-01-07,"Mox Diamond","Modern Horizons 2","253","",4,4065.76,16263.03
2025-01-07,"Wooded Foothills","The Brothers' War","104","",2,9.16,18.32
2025-01-07,"Misty Rainforest","Unlimited","251","",2,16.09,32.18
2025-01-07,"Xenagos, the Reveler","Innistrad: Midnight Hunt","257","Prerelease",1,15.92,15.92
2025-01-07,"Felidar Guardian","Future Sight","161","",4,15.11,60.46
2025-01-07,"Sheoldred, the Apocalypse","Ikoria: Lair of Behemoths","192","Foil",1,327.57,327.57
2025-01-07,"Batterskull","Beta","82","",1,0.98,0.98
2025-01-07,"Demonic Tutor","Ikoria: Lair of Behemoths","230","",4,2.03,8.12
2025-01-07,"Path to Exile","Magic 2010","49","Prerelease",3,28.86,86.57
2025-01-07,"Xenagos, the Reveler","The Lost Caverns of Ixalan","227","",3,9.83,29.49
2025-01-07,"Jitte","Zendikar Rising","66","Etched",4,10.24,40.98
2025-01-07,"Ral Zarek","Fourth Edition","27","Etched",3,16.23,48.69
2025-01-07,"Scute Swarm","Innistrad: Midnight Hunt","13","",3,6.97,20.91
2025-01-07,"Swords to Plowshares","Streets of New Capenna","195","",4,9.93,39.71
2025-01-07,"Polluted Delta","Ixalan","221","",3,8.08,24.25
2025-01-07,"Tundra","Theros Beyond Death","180","Foil",3,13.52,40.57
2025-01-07,"Craterhoof Behemoth","Wilds of Eldraine","215","",2,16.52,33.03
2025-01-07,"Liliana of the Veil","Commander Masters","254","",1,1.98,1.98
2025-01-07,"Sylvan Library","Modern Horizons 2","122","",4,19.43,77.72
2025-01-07,"Counterspell","Ixalan","165","Etched",2,28.99,57.98
2025-01-07,"Force of Will","Dominaria United","248","",3,272.14,816.43
2025-01-07,"Mystic Remora","Future Sight","54","Foil",2,10.62,21.25
2025-01-07,"Thoughtseize","Beta","294","",2,19.10,38.20
2025-01-07,"Cabal Coffers","Ikoria: Lair of Behemoths","255","Prerelease",4,22.36,89.45
2025-01-08,"Vraska the Unseen","Magic 2013","77","Foil",4,26.78,107.13
2025-01-08,"Arid Mesa","Magic 2011","109","",2,11.73,23.47
2025-01-08,"Saheeli Rai","Ixalan","281","Etched",4,6.04,24.17
2025-01-08,"Dark Depths","Wilds of Eldraine","220","Prerelease",1,6.25,6.25
2025-01-08,"Aether Vial","The Brothers' War","114","Foil",3,30.54,91.62
2025-01-08,"Narset, Parter of Veils","Modern Horizons 2","240","",1,17.35,17.35
2025-01-08,"Misty Rainforest","The Brothers' War","61","",2,18.66,37.33
2025-01-08,"Kiora, Behemoth Beckoner","Phyrexia: All Will Be One","264","",3,17.14,51.42
2025-01-08,"Xenagos, the Reveler","Alpha","179","Prerelease",2,16.42,32.84
2025-01-08,"Xenagos, God of Revels","Wilds of Eldraine","86","Foil",4,1.51,6.03
2025-01-08,"Wooded Foothills","Unlimited","128","",4,18.71,74.84
2025-01-08,"Teferi's Protection","Future Sight","55","",1,11.97,11.97
2025-01-08,"Saheeli Rai","Time Spiral","289","",3,2.98,8.94
2025-01-08,"Craterhoof Behemoth","Phyrexia: All Will Be One","59","",4,16.26,65.04
2025-01-08,"Dark Ritual","Unfinity","39","Foil",1,6.03,6.03
2025-01-08,"Doubling Season","Ixalan","168","",2,626.65,1253.31
2025-01-08,"Field of the Dead","Magic 2013","99","",4,3.90,15.62
2025-01-08,"Nicol Bolas, the Ravager","Ixalan","93","",2,15.72,31.44
2025-01-08,"Lightning Bolt","Unfinity","25","Etched",3,4.67,14.01
2025-01-08,"Esper Sentinel","Unfinity","281","",1,18.50,18.50
2025-01-08,"Urborg, Tomb of Yawgmoth","Ixalan","286","",2,9.96,19.92
2025-01-08,"Rhystic Study","Unfinity","163","Foil",2,23.45,46.89
2025-01-08,"Path to Exile","Dominaria United","241","Foil",4,21.78,87.12
2025-01-08,"Brainstorm","Dominaria United","95","",4,17.51,70.05
2025-01-08,"Marsh Flats","Innistrad: Midnight Hunt","158","Prerelease",1,24.46,24.46
2025-01-08,"Hangarback Walker","Unlimited","182","Prerelease",3,28.08,84.24
2025-01-08,"Chandra, Torch of Defiance","Ixalan","133","Prerelease",1,27.46,27.46
2025-01-08,"Gaea's Cradle","March of the Machine","202","Etched",4,1241.49,4965.97
2025-01-08,"Dark Depths","Dominaria United","88","",3,6.74,20.22
2025-01-08,"Phyrexian Obliterator","Alpha","51","Etched",2,28.99,57.98
2025-01-08,"Craterhoof Behemoth","Fourth Edition","90","",3,12.50,37.50
2025-01-08,"Birds of Paradise","Ixalan","131","Foil",2,4.65,9.31
2025-01-08,"Mana Crypt","Zendikar Rising","145","",4,287.16,1148.63
2025-01-08,"Urza's Saga","Time Spiral","74","",1,4.98,4.98
2025-01-08,"Ragavan, Nimble Pilferer","Ixalan","245","",3,321.23,963.68
2025-01-08,"Supreme Verdict","Innistrad: Midnight Hunt","146","Prerelease",4,7.63,30.51
2025-01-08,"Supreme Verdict","Adventures in the Forgotten Realms","196","",2,2.99,5.98
2025-01-08,"Kiora, Behemoth Beckoner","Commander Masters","115","",3,2.03,6.08
2025-01-08,"Sorin Markov","Strixhaven","14","Prerelease",2,22.34,44.67
2025-01-08,"Mox Diamond","Wilds of Eldraine","255","Prerelease",3,3441.48,10324.44
2025-01-08,"Path to Exile","Unfinity","10","Etched",3,10.44,31.32
2025-01-08,"Xenagos, God of Revels","Alpha","256","",4,2.06,8.25
2025-01-08,"Dark Ritual","Ikoria: Lair of Behemoths","50","Foil",1,29.90,29.90
2025-01-08,"Phyrexian Obliterator","Magic 2010","280","Foil",2,8.49,16.97
2025-01-08,"Tarmogoyf","Ixalan","217","",1,2.95,2.95
2025-01-08,"Mox Diamond","Strixhaven","177","Foil",1,4048.67,4048.67
2025-01-08,"Demonic Tutor","March of the Machine","32","Foil",1,2.97,2.97
2025-01-08,"Gaea's Cradle","Kaladesh Remastered","185","",4,2423.37,9693.49
2025-01-08,"Tarmogoyf","Phyrexia: All Will Be One","156","Etched",2,2.95,5.89
2025-01-08,"Orcish Bowmasters","Revised","243","",3,3.80,11.39
2025-01-08,"Sword of Fire and Ice","Unlimited","188","Etched",3,13.46,40.39
2025-01-08,"Inquisition of Kozilek","Streets of New Capenna","254","",3,2.94,8.81
2025-01-08,"Arid Mesa","Wilds of Eldraine","34","",3,2.00,5.99
2025-01-08,"Elvish Mystic","Kaladesh Remastered","36","",2,10.90,21.80
2025-01-08,"Misty Rainforest","Theros Beyond Death","262","Foil",2,10.73,21.45
2025-01-08,"Dockside Extortionist","Revised","85","",3,15.44,46.32
2025-01-08,"Kiora, Behemoth Beckoner","Beta","77","",1,16.11,16.11
2025-01-08,"Demonic Tutor","Phyrexia: All Will Be One","29","",4,6.11,24.45
2025-01-08,"Inquisition of Kozilek","Fourth Edition","224","",2,16.98,33.96
2025-01-08,"Xenagos, God of Revels","Commander Masters","28","",1,20.38,20.38
2025-01-08,"Jitte","Future Sight","194","",4,17.95,71.80
2025-01-08,"Volcanic Island","Unfinity","276","",3,1229.57,3688.72
2025-01-08,"Lotus Cobra","Fourth Edition","63","",3,2450.12,7350.37
2025-01-08,"Chandra, Torch of Defiance","The Lord of the Rings","201","",1,2.00,2.00
2025-01-08,"Flooded Strand","The Lord of the Rings","265","Foil",2,12.01,24.03
2025-01-08,"Demonic Tutor","Kaladesh Remastered","111","",1,4.06,4.06
2025-01-08,"Sword of Body and Mind","Innistrad: Midnight Hunt","74","",1,4.99,4.99
2025-01-08,"Sensei's Divining Top","Fourth Edition","299","Prerelease",1,19.17,19.17
2025-01-08,"Demonic Tutor","The Lord of the Rings","289","",3,12.79,38.38
2025-01-08,"Scalding Tarn","Theros Beyond Death","186","",4,10.86,43.43
2025-01-08,"Ancient Tomb","Commander Masters","258","Prerelease",1,17.10,17.10
2025-01-08,"Cabal Coffers","The Lost Caverns of Ixalan","265","Foil",4,22.91,91.62
2025-01-08,"Orcish Bowmasters","Zendikar Rising","268","Foil",1,10.45,10.45
2025-01-08,"Phyrexian Obliterator","Commander Masters","166","Foil",2,23.26,46.52
2025-01-08,"Demonic Tutor","The Brothers' War","88","Etched",1,10.56,10.56
2025-01-08,"Sword of War and Peace","Revised","156","",1,9.23,9.23
2025-01-08,"Path to Exile","Unfinity","154","",2,1.01,2.03
2025-01-08,"The Ur-Dragon","Innistrad: Midnight Hunt","67","",2,10.69,21.37
2025-01-08,"Emrakul, the Aeons Torn","Unfinity","253","",2,5.71,11.43
2025-01-08,"Wrath of God","Future Sight","230","",1,1.96,1.96
2025-01-08,"Sword of Body and Mind","Wilds of Eldraine","239","Foil",4,2.93,11.72
2025-01-08,"Sheoldred, the Apocalypse","Revised","271","Etched",2,481.92,963.84
